,data
0,-437.8500920810311
1,-58.74078006522814
2,627.3685319505748
3,-157.5221560336222
4,93.58715598218078
5,-117.30353200201625
6,-531.1942199862133
7,-207.0849079704103
8,28.024404045392657
9,-17.866283938804372
10,1331.2430280769986
11,258.35234009280157
12,390.46165210860454
13,-284.4290358755925
14,436.6802761402105
15,129.789588156013
16,303.89890017181597
17,-254.99178781238106
18,-1009.8824757965781
19,-1072.7731637807751
20,-1131.6638517649722
21,-164.55453974916918
22,-177.4452277333662
23,-645.3359157175632
24,-268.22660370176027
25,-1265.1172916859573
26,-648.0079796701543
27,-266.89866765435136
28,-504.7893556385484
29,-147.68004362274542
30,208.42926839305755
31,-407.4614195911395
32,-24.352107575336504
33,282.75720444046647
34,650.866516456269
35,167.97582847207195
36,-121.91485951212508
37,23.194452503677894
38,693.3037645194809
39,849.4130765352838
40,38.522388551086806
41,472.6317005668898
42,262.74101258269275
43,-221.14967540150428
44,876.9596366142987
45,1011.0689486301017
46,879.1782606459046
47,914.2875726617076
48,466.39688467751057
49,-58.49380330668646
50,1134.6155087091165
51,1401.7248207249195
52,678.8341327407225
53,485.9434447565254
54,59.052756772328394
55,-204.83793121186864
56,-840.7286191960657
57,317.3806928197373
58,50.490004835540276
59,668.5993168513432
60,289.7086288671462
61,12.817940882949188
62,1273.9272528987522
63,1031.0365649145551
64,1108.145876930358
65,1063.255188946161
66,834.364500961964
67,-59.52618702223299
68,-313.4168750064309
69,-786.307562990627
70,-594.198250974825
71,-350.0889389590211
72,-1053.979626943219
73,-1093.8703149274152
74,-878.7610029116131
75,-1152.6516908958092
76,-1199.5423788800072
77,-1365.4330668642033
78,-1291.3237548484012
79,-1420.2144428325973
80,-1344.1051308167953
81,-851.9958188009914
82,-1449.8865067851893
83,-1483.7771947693855
84,-1223.6678827535834
85,-1365.5585707377795
86,-552.4492587219775
87,-92.33994670617358
88,-330.2306346903715
89,-485.12132267456764
90,-391.0120106587656
91,-429.9026986429626
92,-716.7933866271596
93,595.3159253886433
94,52.42523740444631
95,-209.46545057975072
96,-989.3561385639478
97,-385.2468265481448
98,241.8624854676582
99,118.97179748346116
100,-389.91889050073587
101,-318.8095784849329
102,311.29973353087007
103,-472.59095445332696
104,-229.481642437524
105,703.627669578279
106,455.73698159408195
107,665.8462936098849
108,592.9556056256879
109,-278.93508235850913
110,2651.174229657294
111,2566.283541673097
112,1255.3928536888998
113,1380.5021657047027
114,882.6114777205057
115,695.7207897363087
116,1455.8301017521117
117,2705.9394137679137
118,2554.0487257837176
119,2373.1580377995197
120,899.2673498153235
121,746.3766618311256
122,555.4859738469295
123,180.59528586273154
124,900.7045978785354
125,707.8139098943375
126,375.92322191014136
127,77.03253392594343
128,-51.858154058252694
129,828.2511579575494
130,482.36046997335325
131,137.4697819891553
132,-951.4209059950408
133,-1039.3115939792388
134,-357.2022819634358
135,-758.0929699476328
136,-887.9836579318298
137,186.12565408397313
138,-554.7650339002239
139,47.34427811557907
140,0.4535901313820432
141,-1073.437097852815
142,-97.32778583701202
143,-742.218473821209
144,-464.1091618054061
145,-1720.999849789603
146,-331.89053777380013
147,247.21877424200284
148,-525.6719137421942
149,-1382.5626017263912
150,-219.45328971058825
151,-311.3439776947853
152,40.76533432101769
153,711.8746463368207
154,198.98395835262363
155,178.0932703684266
156,-393.7974176157704
157,-2013.6881055999675
158,-390.5787935841645
159,346.5305184316385
160,442.63983044744145
161,-830.2508575367556
162,-269.1415455209526
163,-1233.0322335051496
164,-733.9229214893467
165,456.1863905264563
166,-37.70429745774072
167,-199.59498544193775
168,-1333.4856734261348
169,-1694.3763614103318
170,-413.26704939452884
171,-821.1577373787259
172,-283.0484253629229
173,1314.06088665288
174,1422.1701986686821
175,1043.279510684486
176,414.3888227002899
177,495.49813471609195
178,586.607446731894
179,825.7167587476979
